LabelValue,Name,Color_R,Color_G,Color_B,Color_A,Category_CodingScheme,Category_CodeValue,Category_CodeMeaning,Type_CodingScheme,Type_CodeValue,Type_CodeMeaning,TypeModifier_CodingScheme,TypeModifier_CodeValue,TypeModifier_CodeMeaning,Region_CodingScheme,Region_CodeValue,Region_CodeMeaning,RegionModifier_CodingScheme,RegionModifier_CodeValue,RegionModifier_CodeMeaning
1,Entopallium (E),58,149,252,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0000964,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0000964,Entopallium (E),,,,,,,,,
2,Intermediate subpretectal nucleus (ISPT),255,207,218,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0005389,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0005389,Intermediate subpretectal nucleus (ISPT),,,,,,,,,
3,"Nucleus isthmi, magnocellular part (Imc)",255,236,179,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001769,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0001769,"Nucleus isthmi, magnocellular part (Imc)",,,,,,,,,
4,"Nucleus isthmi, parvocellular part (Ipc)",219,46,46,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001776,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0001776,"Nucleus isthmi, parvocellular part (Ipc)",,,,,,,,,
5,Isthmo-optic nucleus (ION),167,171,121,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001775,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0001775,Isthmo-optic nucleus (ION),,,,,,,,,
6,Layer 13 (LXIII/SGC) of Optic Tectum,65,36,128,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0000966,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0000966,Layer 13 (LXIII/SGC),,,,,,,,,
7,Layer 5 (LV/SGFS) of Optic Tectum,120,82,204,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001783,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0001783,Layer 5 (LV/SGFS),,,,,,,,,
8,Ventrolateral mesopallium (MVL),213,155,255,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0000941,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0000941,Ventrolateral mesopallium (MVL),,,,,,,,,
9,Optic tectum (TeO),101,56,199,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001773,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0001773,Optic tectum (TeO),,,,,,,,,
10,Pretectal nucleus (PT),218,201,255,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0000053,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0000053,Pretectal nucleus (PT),,,,,,,,,
